date,FL154090005.A,FL144090005.A,FL314090005.A,FL214090005.A,FL384090005.A,FL794090005.A,FL264090005.A,FL894090005.A,FL907005015.A,FL154190005.A,FL144194005.A,FL314190005.A,FL214190005.A,FL384194005.A,FL794194005.A,FL264194005.A,FL894194005.A,FL154190005.A,FL144190005.A,FL314190005.A,FL214190005.A,FL384190005.A,FL794190005.A,FL264190005.A,FL894190005.A,FL313011005.A,FL313111303.A,FL313011005.A,FL313111303.A,FL713011005.A,FL263011005.A,FL263111005.A,FL893011005.A,FL893111005.A,FL903011005.A,FL713014003.A,FL713014003.A,FL713014003.A,FL713014003.A,FL713014003.A,FL313112003.A,FL313112003.A,FL713012003.A,FL713012003.A,FL313112003.A,FL903012005.A,FL153091003.A,FL103091003.A,FL383091005.A,FL633091003.A,FL263191005.A,FL893091005.A,FL263191005.A,FL903091005.A,FL794010005.A,FL794110005.A,FL264016005.A,FL894010005.A,FL794110005.A,FL904010005.A,FL153020005.A,FL143020005.A,FL313020005.A,FL213020005.A,FL383020005.A,FL793020005.A,FL793120005.A,FL263020005.A,FL893020005.A,FL793120005.A,FL903020005.A,FL153030005.A,FL143030005.A,FL313030003.A,FL213030000.A,FL383030005.A,FL793030005.A,FL703130005.A,FL263030005.A,FL703130005.A,FL703130005.A,FL153034005.A,FL143034005.A,FL213034003.A,FL383034005.A,FL793034005.A,FL634090005.A,FL263034003.A,FL634090005.A,FL634090005.A,FL102051003.A,FL212051003.A,FL382051005.A,FL792050005.A,FL792150005.A,FL262051005.A,FL262151003.A,FL892050005.A,FL892150005.A,FL902050005.A,FL154022005.A,FL163162003.A,FL144022005.A,FL104122005.A,FL314022005.A,FL314122005.A,FL214022005.A,FL213162005.A,FL384022005.A,FL384122005.A,FL794022005.A,FL794122005.A,FL264022005.A,FL264122005.A,FL894022005.A,FL894122005.A,FL904022005.A,FL103069100.A,FL103169100.A,FL213069103.A,FL383069105.A,FL103169100.A,FL793069175.A,FL793169175.A,FL263069103.A,FL263169105.A,FL893169175.A,FL893169175.A,FL153061105.A,FL143061105.A,FL313161105.A,FL213061105.A,FL383061105.A,FL313161105.A,FL793061105.A,FL263061105.A,FL893061105.A,FL313161105.A,FL903061103.A,FL153061705.A,FL103061703.A,FL313061703.A,FL313161705.A,FL213061703.A,FL383061705.A,FL313161705.A,FL793061705.A,FL423161705.A,FL263061705.A,FL893061705.A,FL893161705.A,FL903061703.A,FL153062005.A,FL163162003.A,FL143062005.A,FL103162000.A,FL213062003.A,FL213162005.A,FL383062005.A,FL383162005.A,FL793062005.A,FL263062003.A,FL893062005.A,FL383162005.A,FL903062003.A,FL153063005.A,FL103163003.A,FL313063763.A,FL213063003.A,FL383063005.A,FL103163003.A,FL793063005.A,FL793163005.A,FL263063005.A,FL263163005.A,FL893063005.A,FL893163005.A,FL903063003.A,FL154023005.A,FL154123005.A,FL144023005.A,FL144123005.A,FL314023005.A,FL314123005.A,FL213065005.A,FL213169203.A,FL384023005.A,FL384123005.A,FL794023005.A,FL794123005.A,FL263069500.A,FL264123005.A,FL894123005.A,FL894123005.A,FL153168005.A,FL143168005.A,FL383168005.A,FL793068005.A,FL793168005.A,FL263168005.A,FL793068005.A,FL793068005.A,FL153069005.A,FL153169005.A,FL143169005.A,FL313069005.A,FL313169003.A,FL213169203.A,FL383069005.A,FL383169005.A,FL793069005.A,FL793169005.A,FL263069500.A,FL263169005.A,FL893169005.A,FL893169005.A,FL153065005.A,FL153165005.A,FL143065005.A,FL143165005.A,FL313065005.A,FL313165403.A,FL213065005.A,FL383065005.A,FL383165005.A,FL793065005.A,FL123165005.A,FL893065005.A,FL893065005.A,FL163066223.A,FL153166000.A,FL143066005.A,FL313066220.A,FL383066005.A,FL153166000.A,FL793066005.A,FL153166000.A,FL153166000.A,FL153064105.A,LM103064103.A,LM103164103.A,FL313064105.A,FL213064103.A,FL383064105.A,FL103164103.A,FL793064105.A,FL793164105.A,FL263064105.A,FL263164100.A,FL893064105.A,FL893064105.A,FL153064205.A,FL103064203.A,FL213064203.A,FL383064205.A,FL793064205.A,FL653164205.A,FL263064203.A,FL653164205.A,FL653164205.A,FL163070005.A,FL163170005.A,FL143070005.A,FL143170005.A,FL313070000.A,FL313170005.A,FL213070003.A,FL213170003.A,FL383070005.A,FL383170005.A,FL793070005.A,FL793170005.A,FL263070005.A,FL263170005.A,FL893070005.A,FL893170005.A,FL903070005.A,FL153040005.A,FL313140003.A,FL153040005.A,FL313140003.A,FL793040005.A,FL543140005.A,FL543141905.A,FL263140005.A,FL893140005.A,FL893140005.A,FL153050005.A,FL153050005.A,FL543050005.A,FL583150005.A,FL543151905.A,FL263150005.A,FL893150005.A,FL893150005.A,FL143178005.A,FL313078000.A,FL213078005.A,FL383078005.A,FL143178005.A,FL793178005.A,FL893078005.A,FL893178005.A,FL903078005.A,FL152090205.A,FL112090205.A,FL152090205.A,FL112090205.A,FL662090003.A,FL152090205.A,FL152090205.A,FL103092305.A,FL103092305.A,FL793092305.A,FL263192305.A,FL263192305.A,FL263192305.A,FL103092105.A,FL103092105.A,FL793092105.A,FL263192101.A,FL263192101.A,FL263192101.A,FL143192305.A,FL143192305.A,FL793192305.A,FL263092303.A,FL263092303.A,FL263092303.A,FL143192105.A,FL143192105.A,FL793192105.A,FL263092101.A,FL263092101.A,FL263092101.A,FL153090005.A,FL543077073.A,FL143090005.A,FL143190005.A,FL313090005.A,FL313190005.A,FL213093003.A,FL223073045.A,FL383090005.A,FL383190005.A,FL793090005.A,FL793190005.A,FL263076005.A,FL263190005.A,FL893090005.A,FL893190005.A,FL903090005.A
1946,701942,92656,22104,13824,830526,344613,11855,1186994,-33060,37441,431949,269522,25739,764651,372527,16756,1153934,37441,99245,269522,25739,431947,323407,8809,764163,-71,0,-71,0,20529,0,-248,20458,-248,-20706,0,0,0,0,0,2436,2436,4406,4406,2436,-1970,0,68,68,0,68,68,68,0,18781,17703,-101,18680,17703,-977,60651,37095,4214,4659,106619,3098,119110,2280,111997,119110,7113,56568,900,120,708,58296,158,60036,1582,60036,60036,0,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,42,23,-19,76489,0,13124,24995,0,231306,6767,12199,96380,268500,174351,1797,2387,2821,273118,273118,0,32,137,0,32,137,483,436,58,0,573,573,65127,12779,231201,5179,83085,231201,146016,2100,231201,231201,0,93,0,0,105,134,227,105,1046,1168,0,1273,1273,0,3817,0,313,0,1454,12199,5584,12199,6615,0,12199,12199,0,7452,24858,0,0,7452,24858,20191,193,229,2821,27872,27872,0,14444,36067,4000,38913,8611,0,25,484,27080,75464,56834,3448,0,5002,83914,83914,174,14736,14910,17656,2414,332,17656,17656,733,2602,5659,7573,0,484,8306,8745,6143,1034,0,4670,14449,14449,13711,23514,10,18518,1038,0,25,14784,42032,27248,0,42032,42032,0,9777,3990,0,3990,9777,5787,9777,9777,138515,0,97302,0,0,138515,97302,5451,48353,2690,1001,146656,146656,1298,0,0,1298,0,1298,0,1298,1298,0,671,28132,25097,100,666,1165,778,29397,27212,478,25,514,356,30389,27593,-2796,43360,4758,43360,4758,0,38602,0,0,43360,43360,69381,69381,0,69381,0,0,69381,69381,8147,8218,500,8718,8147,457,8718,8604,-114,234182,234182,234182,234182,0,234182,234182,271,271,10,281,281,281,6700,6700,246,6946,6946,6946,316,316,200,516,516,516,1220,1220,767,1987,1987,1987,7054,703,2366,1778,912,30356,0,12278,10332,45115,60229,11327,0,529,70561,56971,-13590
1947,749851,102225,29561,15635,897272,365739,11901,1274912,-37932,46468,478653,265860,29529,820510,392848,23622,1236980,46468,114866,265860,29529,456723,343332,14609,814664,1330,0,1330,0,22475,0,937,23805,937,-22868,0,0,0,0,0,2408,2408,4406,4406,2408,-1998,0,51,51,0,51,51,51,0,20684,19833,1,20685,19833,-852,60519,39204,3662,5400,108785,3413,120215,1718,113916,120215,6299,60047,900,111,867,61925,142,63631,1564,63631,63631,0,0,0,0,0,0,0,0,0,0,0,0,124,25,0,0,124,25,-99,76315,0,12770,27843,0,224898,7442,13810,96527,266551,171981,2201,3044,2800,271552,271552,0,129,172,0,129,172,572,593,64,0,765,765,65065,12291,224830,5890,83246,224830,138884,2700,224830,224830,0,148,0,0,68,137,285,68,1067,1284,0,1352,1352,0,4458,0,350,0,1415,13810,6223,13810,7587,0,13810,13810,0,6644,27671,0,0,6644,27671,23871,324,280,2800,30795,30795,0,15730,44913,4916,44718,12577,0,50,503,33273,90134,69024,3059,0,9104,102297,102297,156,18456,18612,21186,1967,607,21186,21186,660,2686,5837,11632,0,503,12292,9026,6323,1092,0,8497,18615,18615,15070,28773,16,20425,945,0,50,16081,49198,33117,0,49198,49198,0,13298,4900,0,4900,13298,8398,13298,13298,136405,0,95116,0,0,136405,95116,5944,48741,2480,972,144829,144829,1413,0,0,1413,0,1413,0,1413,1413,0,771,33418,29470,0,0,1376,646,34794,30887,578,40,491,433,35863,31360,-4503,46510,5363,46510,5363,0,41147,0,0,46510,46510,77939,77939,0,77939,0,0,77939,77939,10333,10566,500,11066,10333,348,11066,10681,-385,267381,267381,267381,267381,0,267381,267381,314,314,11,325,325,325,7774,7774,267,8041,8041,8041,336,336,201,537,537,537,1291,1291,775,2066,2066,2066,7592,784,2878,2166,1315,33191,0,14570,11785,50711,66690,13280,0,959,78475,64950,-13525
1948,778442,107621,33241,17149,936453,386045,12573,1335071,-39224,55109,504865,264058,33227,857259,412277,26311,1295847,55109,126209,264058,33227,478603,362576,16116,857295,1729,0,1729,0,23963,0,1293,25692,1293,-24399,0,0,0,0,0,2403,2403,4433,4433,2403,-2030,0,10,10,0,10,10,10,0,23031,22148,117,23148,22148,-1000,58145,39137,4847,5899,108028,3433,119633,2199,113660,119633,5973,62248,900,117,1138,64403,186,66174,1585,66174,66174,0,0,0,0,0,0,0,0,0,0,0,0,128,19,0,0,128,19,-109,77229,0,13485,32137,0,220012,8046,15144,98760,267293,171361,3093,3145,2880,273266,273266,0,180,166,0,180,166,643,770,113,0,936,936,65817,12853,219097,6277,84947,219097,131350,2800,219097,219097,0,95,0,0,915,334,429,915,2049,1563,0,2478,2478,0,4629,0,452,0,1435,15144,6516,15144,8628,0,15144,15144,0,6688,31971,0,0,6688,31971,28691,760,232,2880,35611,35611,0,16922,53423,5837,47831,13940,0,104,573,36803,101827,79468,4208,0,10236,116271,116271,161,19153,19314,23004,3045,645,23004,23004,654,2787,6253,12949,0,573,13603,9613,6764,1163,0,9591,20367,20367,16268,34143,30,22425,991,0,104,17393,56568,39175,0,56568,56568,0,16332,5807,0,5807,16332,10525,16332,16332,135486,0,94141,0,0,135486,94141,6217,48923,2305,944,144008,144008,1516,0,0,1516,0,1516,0,1516,1516,0,851,35534,32183,0,0,1462,789,36996,33823,652,50,435,452,38083,34325,-3758,49353,5576,49353,5576,0,43777,0,0,49353,49353,86476,86476,0,86476,0,0,86476,86476,11108,11378,500,11878,11108,495,11878,11603,-275,283080,283080,283080,283080,0,283080,283080,362,362,12,374,374,374,8959,8959,292,9251,9251,9251,372,372,203,575,575,575,1434,1434,778,2212,2212,2212,7987,835,3396,2578,1230,36067,0,16721,12613,56201,72869,14784,0,871,85482,71856,-13626
1949,802412,111694,32536,17972,964614,403868,13503,1381985,-37964,63061,517290,270600,36435,887386,428793,27842,1344021,63061,127101,270600,36435,497197,378753,16850,892800,1878,0,1878,0,24147,0,1462,26025,1462,-24563,0,0,0,0,0,2384,2384,4442,4442,2384,-2058,0,10,10,0,10,10,10,0,19120,18778,592,19712,18778,-934,56366,40051,5186,6145,107748,3552,119629,1988,113288,119629,6341,64842,900,182,1290,67214,214,69155,1727,69155,69155,0,0,0,0,0,0,0,0,0,0,0,0,119,13,0,0,119,13,-106,77290,0,15447,35036,0,223629,8425,16130,101162,274795,176605,3472,3371,2871,281138,281138,0,265,162,0,265,162,704,951,144,0,1113,1113,67256,14697,222625,6343,88296,222625,131429,2900,222625,222625,0,29,0,0,1004,334,363,1004,2095,1454,0,2458,2458,0,3724,0,485,0,1748,16130,5957,16130,10173,0,16130,16130,0,6281,34874,0,0,6281,34874,32204,1067,327,2871,38812,38812,0,17695,61273,6467,47897,14797,0,185,488,39144,109658,86257,5145,0,10598,125401,125401,177,17127,17304,21938,4016,618,21938,21938,702,3350,6463,13689,0,488,14391,10301,7019,1129,0,9980,21410,21410,16993,38372,24,24307,1108,0,185,18310,62679,44369,0,62679,62679,0,19374,6443,0,6443,19374,12931,19374,19374,142455,0,103822,0,0,142455,103822,8839,49254,2490,708,153784,153784,3071,0,0,3071,0,3071,0,3071,3071,0,884,34635,32181,0,0,1427,950,36062,34015,723,65,394,449,37179,34529,-2650,52104,5660,52104,5660,0,46444,0,0,52104,52104,95413,95413,0,95413,0,0,95413,95413,8806,9114,500,9614,8806,708,9614,9514,-100,284819,284819,284819,284819,0,284819,284819,404,404,12,416,416,416,9963,9963,321,10284,10284,10284,402,402,205,607,607,607,1548,1548,786,2334,2334,2334,8357,904,3817,2779,1379,38927,0,18867,13553,61477,79517,16655,0,1044,93070,79176,-13894
1950,860954,130106,40773,19747,1051580,434016,16337,1501933,-35955,76803,584333,275102,43301,979539,456835,29604,1465978,76803,154027,275102,43301,549233,406377,17099,972709,1594,0,1594,0,22672,0,1446,24266,1446,-22820,0,0,0,0,0,2374,2374,4480,4480,2374,-2106,0,57,57,0,57,57,57,0,21290,21229,774,22064,21229,-835,58927,41599,4948,6614,112088,4083,124921,2035,118206,124921,6715,67207,900,190,1391,69688,256,71898,1954,71898,71898,0,0,0,0,0,0,0,0,0,0,0,0,173,22,0,0,173,22,-151,78096,0,18665,36705,0,223234,9118,20655,105879,280594,177271,4253,4819,3122,287969,287969,0,143,207,0,143,207,974,1112,202,0,1319,1319,66500,17870,222852,6852,91222,222852,127330,4300,222852,222852,0,121,0,0,382,234,355,382,1887,1860,0,2242,2242,0,5465,0,652,0,2032,20655,8149,20655,12506,0,20655,20655,0,6010,36498,0,0,6010,36498,34574,1281,317,3122,40901,40901,0,18660,74845,7761,55379,15752,0,237,555,42410,130779,105943,7082,0,10492,148353,148353,319,21725,22044,27707,5301,362,27707,27707,971,4063,7062,14077,0,555,15048,11680,8543,1781,0,10130,23591,23591,17689,46516,23,26592,1675,0,237,19624,73108,53484,0,73108,73108,0,23947,7738,0,7738,23947,16209,23947,23947,164696,0,126681,0,0,164696,126681,9907,49672,2925,1175,177528,177528,3344,0,0,3344,0,3344,0,3344,3344,0,951,45674,41415,400,1100,1887,1064,47961,44530,740,80,439,445,49140,45055,-4085,55049,5969,55049,5969,0,49080,0,0,55049,55049,104563,104563,0,104563,0,0,104563,104563,16061,16515,500,17015,16061,868,17015,16929,-86,301720,301720,301720,301720,0,301720,301720,443,443,15,458,458,458,10976,10976,354,11330,11330,11330,495,495,205,700,700,700,1905,1905,786,2691,2691,2691,8692,1007,4031,3972,1374,42425,0,21027,14097,68431,86832,18832,0,1079,100929,88342,-12587
1951,935164,138840,48273,21329,1143605,469197,17154,1629956,-42870,85567,648695,282552,47329,1064143,491272,31671,1587086,85567,170441,282552,47329,585889,440418,17807,1044114,1631,0,1631,0,22667,0,1426,24298,1426,-22872,0,0,0,0,0,2398,2398,4553,4553,2398,-2155,0,91,91,0,91,91,91,0,23956,23653,1326,25282,23653,-1629,63356,43742,5067,7028,119193,4339,132149,1700,125232,132149,6917,72177,900,278,1543,74898,285,76849,1666,76849,76849,0,0,0,0,0,0,0,0,0,0,0,0,281,16,0,0,281,16,-265,77532,0,19587,40061,5,223506,9827,22770,106951,286337,183215,5324,4894,3399,295060,295060,0,90,269,0,90,269,1445,1559,293,0,1828,1828,65426,18653,223261,7332,91411,223261,127572,4278,223261,223261,0,79,0,5,245,434,518,245,1825,2098,0,2343,2343,0,5740,0,844,0,2061,22770,8645,22770,14125,0,22770,22770,0,6287,39792,0,0,6287,39792,38248,1667,323,3399,44858,44858,0,19516,83447,8497,63745,17070,0,306,816,45389,148008,120260,6827,0,10814,165649,165649,550,26748,27298,32783,5023,462,32783,32783,893,4186,7785,14767,0,816,15660,12787,9283,1804,0,10352,24943,24943,18623,53361,26,29212,2303,0,306,21258,82573,61315,0,82573,82573,0,25350,8471,0,8471,25350,16879,25350,25350,184698,0,147629,0,0,184698,147629,10934,50063,3450,1390,199082,199082,3482,0,0,3482,0,3482,0,3482,3482,0,1034,48938,41361,1300,2700,2125,1150,52363,46245,850,90,460,490,53673,46825,-6848,57777,6142,57777,6142,0,51635,0,0,57777,57777,118836,118836,0,118836,0,0,118836,118836,20537,21601,500,22101,20537,1098,22101,21635,-466,328513,328513,328513,328513,0,328513,328513,489,489,16,505,505,505,12078,12078,396,12474,12474,12474,548,548,207,755,755,755,2112,2112,791,2903,2903,2903,9276,1086,4518,4189,1321,47806,0,22593,15115,75674,97445,20252,0,1082,112560,97008,-15552
1952,972129,146354,43748,23954,1186185,511190,18555,1715930,-42083,97890,657892,295191,57333,1108306,531473,34068,1673847,97890,178313,295191,57333,628727,480045,18461,1127233,1557,0,1557,0,23157,0,1462,24714,1462,-23252,0,0,0,0,0,2435,2435,4656,4656,2435,-2221,0,75,75,0,75,75,75,0,23797,23572,1513,25310,23572,-1738,65498,44054,7438,7351,124341,4457,138678,1950,130748,138678,7930,79651,900,351,1628,82530,704,85041,1807,85041,85041,0,0,0,0,0,0,0,0,0,0,247,247,856,50,0,0,1103,50,-1053,84342,0,18655,44828,2,229829,11249,29657,114248,304314,194108,5752,5136,3426,313492,313492,0,195,331,0,195,331,1742,1915,309,0,2246,2246,67389,17647,229203,8538,93574,229203,131161,4468,229203,229203,0,-1,0,2,626,600,601,626,2180,2155,0,2781,2781,0,10957,0,813,0,2111,29657,13881,29657,15776,0,29657,29657,0,5997,44497,0,0,5997,44497,43249,1682,359,3426,49605,49605,0,20003,95595,9751,67709,18645,0,409,1138,48808,164442,135248,8275,0,11339,184056,184056,417,27923,28340,35613,6697,576,35613,35613,714,4404,8508,15782,0,1138,16496,14050,9895,1578,0,10763,26391,26391,19289,60252,30,31278,2863,0,409,22591,91530,68939,0,91530,91530,0,30522,9721,0,9721,30522,20801,30522,30522,181107,0,146628,0,0,181107,146628,13866,50591,3705,1459,198678,198678,3932,0,0,3932,0,3932,0,3932,3932,0,1133,53704,42703,2251,2775,2199,1640,58154,48251,948,150,499,518,59601,48919,-10682,60665,6185,60665,6185,0,54480,0,0,60665,60665,135626,135626,0,135626,0,0,135626,135626,17381,12197,510,12707,17381,1434,12707,18815,6108,330657,330657,330657,330657,0,330657,330657,555,555,18,573,573,573,13706,13706,442,14148,14148,14148,596,596,218,814,814,814,2294,2294,837,3131,3131,3131,10648,1162,4954,5096,1307,53967,361,24898,17270,85123,108933,22837,0,1068,126203,109028,-17175
1953,1003439,149982,41834,25598,1220854,547216,19493,1787563,-39105,110624,661272,309522,64661,1146079,565874,36504,1748457,110624,184467,309522,64661,669274,514014,19554,1202842,1471,0,1471,0,21987,0,1367,23458,1367,-22091,0,0,0,0,0,2469,2469,4738,4738,2469,-2269,0,114,114,0,114,114,114,0,23620,23181,1433,25053,23181,-1872,66782,43767,5906,7766,124221,4656,138710,1498,130375,138710,8335,87886,900,342,1957,91085,777,94270,2408,94270,94270,0,0,0,0,0,0,0,0,0,0,175,175,784,41,0,0,959,41,-918,88052,0,20449,48414,0,237379,12151,35012,120652,320805,205095,7438,5810,3314,331557,331557,0,204,402,0,204,402,2019,2222,401,0,2624,2624,68038,19240,235126,9342,96620,235126,133471,5035,235126,235126,0,154,0,0,2253,516,670,2253,3742,2159,0,4412,4412,0,13873,0,1005,0,2293,35012,17171,35012,17841,0,35012,35012,0,5987,48012,0,0,5987,48012,48022,3057,374,3314,54383,54383,0,20993,108158,10139,69195,20602,0,492,774,52226,178127,147055,8581,0,12573,199281,199281,478,26851,27329,34711,6921,461,34711,34711,708,4996,9054,17344,0,774,18052,14824,10544,1660,0,12112,28596,28596,20285,68070,32,33290,3258,0,492,24067,101360,77293,0,101360,101360,0,34614,10107,0,10107,34614,24507,34614,34614,177572,0,144082,0,0,177572,144082,15181,50992,3650,1329,196403,196403,4146,0,0,4146,0,4146,0,4146,4146,0,1212,53254,42793,2214,2600,2203,2158,57671,48763,1006,180,443,499,59120,49442,-9678,63647,6259,63647,6259,0,57388,0,0,63647,63647,152851,152851,0,152851,0,0,152851,152851,17986,10005,457,10462,17986,1903,10462,19889,9427,330217,330217,330217,330217,0,330217,330217,611,611,21,632,632,632,15124,15124,497,15621,15621,15621,651,651,226,877,877,877,2506,2506,868,3374,3374,3374,11293,1254,5625,5428,1294,60815,397,26717,18609,94214,121799,25099,0,1055,140408,120368,-20039
1954,1086319,156111,38774,27421,1308626,590580,22769,1921975,-40393,123092,723304,318824,72971,1238191,604799,38592,1881582,123092,191938,318824,72971,706825,552171,19779,1278775,1302,0,1302,0,21676,0,1185,22978,1185,-21793,0,0,0,0,0,2505,2505,4829,4829,2505,-2324,0,158,158,0,158,158,158,0,22163,21170,1414,23577,21170,-2407,68863,45970,5567,8137,128537,4660,143349,1708,134905,143349,8444,97182,1100,370,2419,101071,848,104819,2900,104819,104819,0,0,0,0,0,0,0,0,0,0,172,172,260,21,0,0,432,21,-411,87050,0,18786,52078,1,240195,12915,40663,118752,332936,218292,7274,6430,3264,343474,343474,0,291,531,0,291,531,2029,2373,584,0,2904,2904,66087,17523,237857,9789,93399,237857,138992,5466,237857,237857,0,147,0,1,2338,659,807,2338,3673,2142,0,4480,4480,0,15964,0,972,0,2467,40663,19403,40663,21260,0,40663,40663,0,4852,51547,0,0,4852,51547,52338,2759,380,3264,57570,57570,0,22443,120453,10486,71680,20375,0,582,439,53886,192572,160770,9362,0,12722,214656,214656,675,26422,27097,35319,7475,747,35319,35319,1020,6047,9446,16950,0,439,17970,15932,11824,1887,0,11975,29794,29794,21423,77768,33,35812,3425,0,582,25463,113580,88117,0,113580,113580,0,35963,10453,0,10453,35963,25510,35963,35963,222895,0,194840,0,0,222895,194840,20208,51649,5254,1868,248357,248357,6110,0,0,6110,0,6110,0,6110,6110,0,1298,56580,46562,2445,2366,2378,2738,61403,52964,1064,200,430,598,62897,53762,-9135,66349,5960,66349,5960,0,60389,0,0,66349,66349,169932,169932,0,169932,0,0,169932,169932,14767,7245,503,7748,14767,1634,7748,16401,8653,333828,333828,333828,333828,0,333828,333828,663,663,23,686,686,686,16373,16373,572,16945,16945,16945,701,701,255,956,956,956,2698,2698,979,3677,3677,3677,11668,1341,5995,6151,1469,67798,315,29131,19447,104421,135215,27656,0,1166,154662,133243,-21419
1955,1179511,173869,40936,29841,1424157,637402,24506,2086065,-34180,144426,810273,325388,81628,1361715,649032,41138,2051885,144426,219292,325388,81628,770734,595948,20058,1386740,1168,0,1168,0,21629,0,1044,22797,1044,-21753,0,0,0,0,0,2507,2507,4852,4852,2507,-2345,0,129,129,0,129,129,129,0,23379,22376,1390,24769,22376,-2393,70033,47206,5297,8156,130692,4859,145680,1532,137083,145680,8597,105783,1000,357,2356,109496,979,113274,2799,113274,113274,0,0,0,0,0,0,0,0,0,0,721,721,855,44,0,0,1576,44,-1532,93597,0,23017,54926,20,240077,14091,45697,130725,340700,215034,8664,6676,3071,352435,352435,0,217,362,0,217,362,2093,2387,439,0,2749,2749,68843,21281,238466,10936,101060,238466,131603,5803,238466,238466,0,605,300,20,1611,676,1601,1611,3131,3121,0,4732,4732,0,19174,0,1219,0,2479,45697,22872,45697,22825,0,45697,45697,0,4975,54564,0,0,4975,54564,55382,3156,434,3071,60791,60791,0,23624,141563,11290,81128,20938,0,641,451,56493,223142,190749,11201,0,12899,247242,247242,1799,31399,33198,42972,8819,955,42972,42972,899,6713,10008,17316,0,451,18215,17172,13283,2382,0,11944,31498,31498,22725,90102,47,39721,3622,0,641,27035,129823,102788,0,129823,129823,0,42949,11243,0,11243,42949,31706,42949,42949,265154,0,244222,0,0,265154,244222,26944,52012,6575,2439,298673,298673,7839,0,0,7839,0,7839,0,7839,7839,0,1381,65916,57031,2274,2283,2863,3384,71053,64079,1156,210,458,652,72667,64941,-7726,69254,5795,69254,5795,0,63459,0,0,69254,69254,188252,188252,0,188252,0,0,188252,188252,18430,9070,544,9614,18430,1260,9614,19690,10076,343802,343802,343802,343802,0,343802,343802,728,728,26,754,754,754,17992,17992,649,18641,18641,18641,768,768,279,1047,1047,1047,2957,2957,1072,4029,4029,4029,12173,1482,6591,7008,1812,74726,469,32096,21045,115312,146291,33410,0,1509,167336,150231,-17104
