date,FL154090005.Q,FL144090005.Q,FL314090005.Q,FL214090005.Q,FL384090005.Q,FL794090005.Q,FL264090005.Q,FL894090005.Q,FL907005015.Q,FL154190005.Q,FL144194005.Q,FL314190005.Q,FL214190005.Q,FL384194005.Q,FL794194005.Q,FL264194005.Q,FL894194005.Q,FL154190005.Q,FL144190005.Q,FL314190005.Q,FL214190005.Q,FL384190005.Q,FL794190005.Q,FL264190005.Q,FL894190005.Q,FL313011005.Q,FL313111303.Q,FL313011005.Q,FL313111303.Q,FL713011005.Q,FL263011005.Q,FL263111005.Q,FL893011005.Q,FL893111005.Q,FL903011005.Q,FL713014003.Q,FL713014003.Q,FL713014003.Q,FL713014003.Q,FL713014003.Q,FL313112003.Q,FL313112003.Q,FL713012003.Q,FL713012003.Q,FL313112003.Q,FL903012005.Q,FL153091003.Q,FL103091003.Q,FL383091005.Q,FL633091003.Q,FL263191005.Q,FL893091005.Q,FL263191005.Q,FL903091005.Q,FL794010005.Q,FL794110005.Q,FL264016005.Q,FL894010005.Q,FL794110005.Q,FL904010005.Q,FL153020005.Q,FL143020005.Q,FL313020005.Q,FL213020005.Q,FL383020005.Q,FL793020005.Q,FL793120005.Q,FL263020005.Q,FL893020005.Q,FL793120005.Q,FL903020005.Q,FL153030005.Q,FL143030005.Q,FL313030003.Q,FL213030000.Q,FL383030005.Q,FL793030005.Q,FL703130005.Q,FL263030005.Q,FL703130005.Q,FL703130005.Q,FL153034005.Q,FL143034005.Q,FL213034003.Q,FL383034005.Q,FL793034005.Q,FL634090005.Q,FL263034003.Q,FL634090005.Q,FL634090005.Q,FL102051003.Q,FL212051003.Q,FL382051005.Q,FL792050005.Q,FL792150005.Q,FL262051005.Q,FL262151003.Q,FL892050005.Q,FL892150005.Q,FL902050005.Q,FL154022005.Q,FL163162003.Q,FL144022005.Q,FL104122005.Q,FL314022005.Q,FL314122005.Q,FL214022005.Q,FL213162005.Q,FL384022005.Q,FL384122005.Q,FL794022005.Q,FL794122005.Q,FL264022005.Q,FL264122005.Q,FL894022005.Q,FL894122005.Q,FL904022005.Q,FL103069100.Q,FL103169100.Q,FL213069103.Q,FL383069105.Q,FL103169100.Q,FL793069175.Q,FL793169175.Q,FL263069103.Q,FL263169105.Q,FL893169175.Q,FL893169175.Q,FL153061105.Q,FL143061105.Q,FL313161105.Q,FL213061105.Q,FL383061105.Q,FL313161105.Q,FL793061105.Q,FL263061105.Q,FL893061105.Q,FL313161105.Q,FL903061103.Q,FL153061705.Q,FL103061703.Q,FL313061703.Q,FL313161705.Q,FL213061703.Q,FL383061705.Q,FL313161705.Q,FL793061705.Q,FL423161705.Q,FL263061705.Q,FL893061705.Q,FL893161705.Q,FL903061703.Q,FL153062005.Q,FL163162003.Q,FL143062005.Q,FL103162000.Q,FL213062003.Q,FL213162005.Q,FL383062005.Q,FL383162005.Q,FL793062005.Q,FL263062003.Q,FL893062005.Q,FL383162005.Q,FL903062003.Q,FL153063005.Q,FL103163003.Q,FL313063763.Q,FL213063003.Q,FL383063005.Q,FL103163003.Q,FL793063005.Q,FL793163005.Q,FL263063005.Q,FL263163005.Q,FL893063005.Q,FL893163005.Q,FL903063003.Q,FL154023005.Q,FL154123005.Q,FL144023005.Q,FL144123005.Q,FL314023005.Q,FL314123005.Q,FL213065005.Q,FL213169203.Q,FL384023005.Q,FL384123005.Q,FL794023005.Q,FL794123005.Q,FL263069500.Q,FL264123005.Q,FL894123005.Q,FL894123005.Q,FL153168005.Q,FL143168005.Q,FL383168005.Q,FL793068005.Q,FL793168005.Q,FL263168005.Q,FL793068005.Q,FL793068005.Q,FL153069005.Q,FL153169005.Q,FL143169005.Q,FL313069005.Q,FL313169003.Q,FL213169203.Q,FL383069005.Q,FL383169005.Q,FL793069005.Q,FL793169005.Q,FL263069500.Q,FL263169005.Q,FL893169005.Q,FL893169005.Q,FL153065005.Q,FL153165005.Q,FL143065005.Q,FL143165005.Q,FL313065005.Q,FL313165403.Q,FL213065005.Q,FL383065005.Q,FL383165005.Q,FL793065005.Q,FL123165005.Q,FL893065005.Q,FL893065005.Q,FL163066223.Q,FL153166000.Q,FL143066005.Q,FL313066220.Q,FL383066005.Q,FL153166000.Q,FL793066005.Q,FL153166000.Q,FL153166000.Q,FL153064105.Q,LM103064103.Q,LM103164103.Q,FL313064105.Q,FL213064103.Q,FL383064105.Q,FL103164103.Q,FL793064105.Q,FL793164105.Q,FL263064105.Q,FL263164100.Q,FL893064105.Q,FL893064105.Q,FL153064205.Q,FL103064203.Q,FL213064203.Q,FL383064205.Q,FL793064205.Q,FL653164205.Q,FL263064203.Q,FL653164205.Q,FL653164205.Q,FL163070005.Q,FL163170005.Q,FL143070005.Q,FL143170005.Q,FL313070000.Q,FL313170005.Q,FL213070003.Q,FL213170003.Q,FL383070005.Q,FL383170005.Q,FL793070005.Q,FL793170005.Q,FL263070005.Q,FL263170005.Q,FL893070005.Q,FL893170005.Q,FL903070005.Q,FL153040005.Q,FL313140003.Q,FL153040005.Q,FL313140003.Q,FL793040005.Q,FL543140005.Q,FL543141905.Q,FL263140005.Q,FL893140005.Q,FL893140005.Q,FL153050005.Q,FL153050005.Q,FL543050005.Q,FL583150005.Q,FL543151905.Q,FL263150005.Q,FL893150005.Q,FL893150005.Q,FL143178005.Q,FL313078000.Q,FL213078005.Q,FL383078005.Q,FL143178005.Q,FL793178005.Q,FL893078005.Q,FL893178005.Q,FL903078005.Q,FL152090205.Q,FL112090205.Q,FL152090205.Q,FL112090205.Q,FL662090003.Q,FL152090205.Q,FL152090205.Q,FL103092305.Q,FL103092305.Q,FL793092305.Q,FL263192305.Q,FL263192305.Q,FL263192305.Q,FL103092105.Q,FL103092105.Q,FL793092105.Q,FL263192101.Q,FL263192101.Q,FL263192101.Q,FL143192305.Q,FL143192305.Q,FL793192305.Q,FL263092303.Q,FL263092303.Q,FL263092303.Q,FL143192105.Q,FL143192105.Q,FL793192105.Q,FL263092101.Q,FL263092101.Q,FL263092101.Q,FL153090005.Q,FL543077073.Q,FL143090005.Q,FL143190005.Q,FL313090005.Q,FL313190005.Q,FL213093003.Q,FL223073045.Q,FL383090005.Q,FL383190005.Q,FL793090005.Q,FL793190005.Q,FL263076005.Q,FL263190005.Q,FL893090005.Q,FL893190005.Q,FL903090005.Q
1945:Q4,647873,92366,44257,13379,797875,340287,13418,1151580,-36569,30584,387351,289466,23648,731049,369439,14523,1115011,30584,85044,289466,23648,428742,320461,6635,755838,18,0,18,0,20065,0,0,20083,0,-20083,0,0,0,0,0,2310,2310,4183,4183,2310,-1873,0,33,33,0,33,33,33,0,18564,18409,324,18888,18409,-479,55449,35948,26937,3784,122118,2662,133687,2677,127457,133687,6230,50230,900,104,529,51763,160,53501,1578,53501,53501,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,0,28,18,-10,78843,0,18760,24000,0,254385,7524,12130,105127,290515,186406,1224,3119,2913,294652,294652,0,0,95,0,0,95,273,220,42,0,315,315,66517,18508,254077,5531,90556,254077,160947,2574,254077,254077,0,61,0,0,308,234,295,308,886,873,0,1181,1181,0,3869,0,252,0,1759,12130,5880,12130,6250,0,12130,12130,0,8396,23905,0,0,8396,23905,18050,131,503,2913,26949,26949,0,12883,29442,3378,31940,5846,0,0,505,22107,61887,46855,4468,0,2607,68962,68962,290,10253,10543,14454,3569,342,14454,14454,694,3330,4856,4462,0,505,5156,8691,6699,899,0,2265,11855,11855,12189,19022,5,16831,1384,0,0,13578,35853,22275,0,35853,35853,0,6800,3373,0,3373,6800,3427,6800,6800,144855,0,103694,0,0,144855,103694,5297,48216,2700,942,152852,152852,1245,0,0,1245,0,1245,0,1245,1245,0,504,24369,17255,900,2679,1042,632,26311,21070,361,10,513,399,27185,21479,-5706,39560,3593,39560,3593,0,35967,0,0,39560,39560,61172,61172,0,61172,0,0,61172,61172,10105,9607,500,10107,10105,443,10107,10548,441,197385,197385,197385,197385,0,197385,197385,272,272,9,281,281,281,6718,6718,228,6946,6946,6946,320,320,197,517,517,517,1228,1228,762,1990,1990,1990,6251,638,1988,1424,845,26499,0,10381,9084,38942,55469,10120,0,402,64553,49464,-15089
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,701942,92656,22104,13824,830526,344613,11855,1186994,-33060,37441,431949,269522,25739,764651,372527,16756,1153934,37441,99245,269522,25739,431947,323407,8809,764163,-71,0,-71,0,20529,0,-248,20458,-248,-20706,0,0,0,0,0,2436,2436,4406,4406,2436,-1970,0,68,68,0,68,68,68,0,18781,17703,-101,18680,17703,-977,60651,37095,4214,4659,106619,3098,119110,2280,111997,119110,7113,56568,900,120,708,58296,158,60036,1582,60036,60036,0,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,42,23,-19,76489,0,13124,24995,0,231306,6767,12199,96380,268500,174351,1797,2387,2821,273118,273118,0,32,137,0,32,137,483,436,58,0,573,573,65127,12779,231201,5179,83085,231201,146016,2100,231201,231201,0,93,0,0,105,134,227,105,1046,1168,0,1273,1273,0,3817,0,313,0,1454,12199,5584,12199,6615,0,12199,12199,0,7452,24858,0,0,7452,24858,20191,193,229,2821,27872,27872,0,14444,36067,4000,38913,8611,0,25,484,27080,75464,56834,3448,0,5002,83914,83914,174,14736,14910,17656,2414,332,17656,17656,733,2602,5659,7573,0,484,8306,8745,6143,1034,0,4670,14449,14449,13711,23514,10,18518,1038,0,25,14784,42032,27248,0,42032,42032,0,9777,3990,0,3990,9777,5787,9777,9777,138515,0,97302,0,0,138515,97302,5451,48353,2690,1001,146656,146656,1298,0,0,1298,0,1298,0,1298,1298,0,671,28132,25097,100,666,1165,778,29397,27212,478,25,514,356,30389,27593,-2796,43360,4758,43360,4758,0,38602,0,0,43360,43360,69381,69381,0,69381,0,0,69381,69381,8147,8218,500,8718,8147,457,8718,8604,-114,234182,234182,234182,234182,0,234182,234182,271,271,10,281,281,281,6700,6700,246,6946,6946,6946,316,316,200,516,516,516,1220,1220,767,1987,1987,1987,7054,703,2366,1778,912,30356,0,12278,10332,45115,60229,11327,0,529,70561,56971,-13590
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,749851,102225,29561,15635,897272,365739,11901,1274912,-37932,46468,478653,265860,29529,820510,392848,23622,1236980,46468,114866,265860,29529,456723,343332,14609,814664,1330,0,1330,0,22475,0,937,23805,937,-22868,0,0,0,0,0,2408,2408,4406,4406,2408,-1998,0,51,51,0,51,51,51,0,20684,19833,1,20685,19833,-852,60519,39204,3662,5400,108785,3413,120215,1718,113916,120215,6299,60047,900,111,867,61925,142,63631,1564,63631,63631,0,0,0,0,0,0,0,0,0,0,0,0,124,25,0,0,124,25,-99,76315,0,12770,27843,0,224898,7442,13810,96527,266551,171981,2201,3044,2800,271552,271552,0,129,172,0,129,172,572,593,64,0,765,765,65065,12291,224830,5890,83246,224830,138884,2700,224830,224830,0,148,0,0,68,137,285,68,1067,1284,0,1352,1352,0,4458,0,350,0,1415,13810,6223,13810,7587,0,13810,13810,0,6644,27671,0,0,6644,27671,23871,324,280,2800,30795,30795,0,15730,44913,4916,44718,12577,0,50,503,33273,90134,69024,3059,0,9104,102297,102297,156,18456,18612,21186,1967,607,21186,21186,660,2686,5837,11632,0,503,12292,9026,6323,1092,0,8497,18615,18615,15070,28773,16,20425,945,0,50,16081,49198,33117,0,49198,49198,0,13298,4900,0,4900,13298,8398,13298,13298,136405,0,95116,0,0,136405,95116,5944,48741,2480,972,144829,144829,1413,0,0,1413,0,1413,0,1413,1413,0,771,33418,29470,0,0,1376,646,34794,30887,578,40,491,433,35863,31360,-4503,46510,5363,46510,5363,0,41147,0,0,46510,46510,77939,77939,0,77939,0,0,77939,77939,10333,10566,500,11066,10333,348,11066,10681,-385,267381,267381,267381,267381,0,267381,267381,314,314,11,325,325,325,7774,7774,267,8041,8041,8041,336,336,201,537,537,537,1291,1291,775,2066,2066,2066,7592,784,2878,2166,1315,33191,0,14570,11785,50711,66690,13280,0,959,78475,64950,-13525
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
